License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
3162215,GROCERY STORE BEER,122,A,3,Buffalo,ERIE,JIHAN A AL BYAAH,HUDSON EXPRESS,221 HUDSON ST,,BUFFALO              ,NY,14201,,01/17/2019
3162217,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,LCRS14 LLC,THE ROSE,199 SCOTT ST,STE 110,BUFFALO              ,NY,14204,895855,01/17/2019
3162219,"GROCERY CHAIN, BEER ONLY",128,A,3,Buffalo,ERIE,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #9631,8229 N MAIN ST,,EDEN,NY,14057,,01/17/2019
3162220,MICRO BREWER,101,MI,3,Buffalo,ERIE,RBCPROD LLC,RESURGENCE BREWING COMPANY,55 CHICAGO ST,STE 100,BUFFALO              ,NY,14204,,01/17/2019
3162221,FARM BREWER,106,FD,3,Buffalo,ERIE,65 VANDALIA STREET BREWING LLC,PRESSURE DROP BREWING,65 VANDALIA ST,SUITE 2,BUFFALO              ,NY,14204,,01/17/2019
3162222,COMBINED CRAFT MANUFACTURER,110,CM,3,Buffalo,ERIE,65 VANDALIA STREET BREWING LLC,PRESSURE DROP BREWING,65 VANDALIA ST,SUITE 2,BUFFALO              ,NY,14204,,01/17/2019
3162223,"FARM DISTILLER ""D""",207,DD,3,Buffalo,STEUBEN,URBANA HILL DISTILLING AND BREWING LLC,COLD BROOK DISTILLING,8772 MAIN ST,UNIT B,CAMPBELL,NY,14821,915602,01/17/2019
3162227,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,MAMA JUANA ROC RESTAURANT & LOUNGE LLC,,2260 CLIFFORD AVE,,ROCHESTER            ,NY,14609,,01/23/2019
3162229,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CHAUTAUQUA,SPORTSMAN RESTAURANT GROUP LLC,SPORTSMAN'S RESTAURANT,12872 ALLEGANY RD,T/O HANOVER,IRVING,NY,14081,895865,01/23/2019
3162232,RESTAURANT WINE,341,RW,3,Buffalo,ERIE,K M KOPTY LLC,EGGSPERIENCE,2878 DELAWARE AVE,,KENMORE,NY,14217,798276,01/23/2019
3162234,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,DON TEQUILA MEXICAN RESTAURANT LLC,,71 75 ALLEN ST,,BUFFALO              ,NY,14202,,03/04/2019
3162236,CATERING ESTABLISHMENT,246,CT,3,Buffalo,ERIE,DNIPRO HALL INCORPORATED,,558 562 GENESEE ST,2ND & 3RD FLOORS,BUFFALO              ,NY,14204,,01/23/2019
3162238,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,SHAMSAN WALDEN GROCERY INC,,290 WALDEN AVE,,BUFFALO              ,NY,14211,,01/28/2019
3162242,TAVERN WINE,344,TW,3,Buffalo,NIAGARA,"BOARDROOM NT INC, THE",THE BOARDROOM NT ,74 WEBSTER ST,,NORTH TONAWANDA,NY,14120,,01/28/2019
3162243,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ORLEANS,MILE 303 LLC,MILE 303 GENERAL STORE,414 MAIN ST,1ST FL,MEDINA,NY,14103,,01/28/2019
3162244,FARM WINERY,302,FW,3,Buffalo,ONTARIO,STAR CIDER LLC,,3365 STATE RTE 364,,CANANDAIGUA,NY,14424,,01/28/2019
3162245,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,BRIGHTON FOOD XPRESS MART INC,,3000 S WINTON RD S,,BRIGHTON,NY,14623,,01/28/2019
3162247,FARM CIDERY,309,CF,3,Buffalo,ERIE,"FARM IN CLARKSBURG LLC, THE",CLARKSBURG CIDER,4493 WALDEN AVE,,LANCASTER,NY,14086,,01/28/2019
3162248,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,"FARM IN CLARKSBURG LLC, THE",CLARKSBURG CIDER,4493 WALDEN AVE,,LANCASTER,NY,14086,,01/28/2019
3162249,CATERING ESTABLISHMENT,246,CT,3,Buffalo,NIAGARA,WEBSTER'S KITCHEN LLC,,110 WEBSTER ST,,NORTH TONAWANDA,NY,14120,895857,01/28/2019
